,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Housing Units,Housing UnitsFinal number of housing unit interviews,Population in Group Quarters,Population in Group QuartersFinal number of group quarters person interviews,Housing Units,Total Population,Total Population%Male,Total Population%Female,Total Population,Total Population%White,Total Population%Black or African American,Total Population%American Indian and Alaska Native,Total Population%Asian,Total Population%Native Hawaiian and Other Pacific Islander,Total Population%Hispanic or Latino,Population in Group Quarters,Housing Units,Housing Units%Nonresponse Rate:,Housing Units%Nonresponse Rate:%Refusal,Housing Units%Nonresponse Rate:%Unable To Locate,Housing Units%Nonresponse Rate:%No One Home,Housing Units%Nonresponse Rate:%Temporarily Absent,Housing Units%Nonresponse Rate:%Language Problem,Housing Units%Nonresponse Rate:%Insufficient Data,Housing Units%Nonresponse Rate:%Other Reason,Population in Group Quarters,Population in Group Quarters%Nonresponse Rate:,Population in Group Quarters%Nonresponse Rate:%Group Quarters Person Refusal,Population in Group Quarters%Nonresponse Rate:%Unable To Locate Group Quarters Person,Population in Group Quarters%Nonresponse Rate:%Resident Temporarily Absent,Population in Group Quarters%Nonresponse Rate:%Language Problem,Population in Group Quarters%Nonresponse Rate:%Insufficient Data,Population in Group Quarters%Nonresponse Rate:%Group Quarters Person Other Reason,Population in Group Quarters%Nonresponse Rate:%Whole Group Quarters Refusal,Population in Group Quarters%Nonresponse Rate:%Whole Group Quarters Other Reason,Total Population,Total Population,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,174,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,174,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,174,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,174,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,174,6,7326.0,4501.0,,,,,,,,,,,,,,,93.1,6.9,3.4,0.1,2.2,0.6,0.0,0.2,0.4,,,,,,,,,,,,,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,174,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,174,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,174,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,174,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,174,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20110.0,dc,0,174,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20110.0,dc,0,174,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20110.0,dc,0,174,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20110.0,dc,0,174,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97000US1100030,"District of Columbia Public Schools, District of Columbia"
